,subj_id,list_id,item_id,A,B,Y
63,2,1,23,A2,B1,258.2762093
64,2,1,24,A2,B1,269.8792151
65,2,1,25,A2,B1,254.3673486
66,2,1,26,A2,B1,233.8992085
67,2,1,27,A2,B1,258.6735797
68,2,1,28,A2,B1,270.7982829
69,2,1,29,A2,B1,257.035271
70,2,1,30,A2,B1,252.9498272
71,2,1,31,A2,B2,283.5686859
72,2,1,32,A2,B2,281.4279592
73,2,1,33,A2,B2,280.0569123
74,2,1,34,A2,B2,248.0358753
75,2,1,35,A2,B2,268.6168241
76,2,1,36,A2,B2,277.0455696
77,2,1,37,A2,B2,303.8529945
78,2,1,38,A2,B2,259.885588
79,2,1,39,A2,B2,277.1535164
80,2,1,40,A2,B2,305.1098199
81,3,1,1,A1,B1,234.4288397
82,3,1,2,A1,B1,223.8384396
83,3,1,3,A1,B1,297.279149
84,3,1,4,A1,B1,277.1674097
85,3,1,5,A1,B1,237.9297756
86,3,1,6,A1,B1,227.6300989
87,3,1,7,A1,B1,258.3220585
88,3,1,8,A1,B1,304.25575
89,3,1,9,A1,B1,205.1048551
90,3,1,10,A1,B1,245.4599898
91,3,1,11,A1,B2,262.9141983
92,3,1,12,A1,B2,266.7769263
93,3,1,13,A1,B2,281.8025378
94,3,1,14,A1,B2,300.1462757
95,3,1,15,A1,B2,221.2193748
96,3,1,16,A1,B2,257.6985078
97,3,1,17,A1,B2,249.5793501
98,3,1,18,A1,B2,277.3032077
99,3,1,19,A1,B2,193.2248322
100,3,1,20,A1,B2,317.1284421
101,3,1,21,A2,B1,255.2754746
102,3,1,22,A2,B1,256.1040439
103,3,1,23,A2,B1,263.3777936
104,3,1,24,a1,B1,271.6009062
105,3,1,25,A2,B1,227.0202742
106,3,1,26,A2,B1,294.2461318
107,3,1,27,A2,B1,242.1963193
108,3,1,28,A2,B1,252.5087726
109,3,1,29,A2,B1,249.3080833
110,3,1,30,A2,B1,245.1243768
111,3,1,31,A2,B2,233.1949898
112,3,1,32,A2,B2,262.4134082
113,3,1,33,A2,B2,266.9618759
114,3,1,34,A2,B2,254.0352487
115,3,1,35,A2,B2,214.9511279
116,3,1,36,A2,B2,200.8024579
117,3,1,37,A2,B2,258.9122623
118,3,1,38,A2,B2,210.1102554
119,3,1,39,A2,B2,241.7476911
120,3,1,40,A2,B2,262.9710444
121,4,4,1,A2,B2,222.0868001
122,4,4,2,A2,B2,241.8484382
123,4,4,3,A2,B2,250.8995565
124,4,4,4,A2,B2,199.8326078
125,4,4,5,A2,B2,228.6327224
126,4,4,6,A2,B2,223.0089074
127,4,4,7,A2,B2,220.1140688
128,4,4,8,A2,B2,240.7246502
129,4,4,9,A2,B2,264.39109
130,4,4,10,A2,B2,206.6308084
131,4,4,11,A1,B1,280.4977126
132,4,4,12,A1,B1,265.4321496
133,4,4,13,A1,B1,275.0317246
134,4,4,14,A1,B1,276.9421093
135,4,4,15,A1,B1,278.3939088
136,4,4,16,A1,B1,265.4402249
137,4,4,17,A1,B1,294.6629421
138,4,4,18,A1,B1,274.028663
139,4,4,19,A1,B1,257.9384573
140,4,4,20,A1,B1,283.4274131
141,4,4,21,A1,B2,238.336511
142,4,4,22,A1,B2,216.9542438
143,4,4,23,A1,B2,252.6996632
144,4,4,24,A1,B2,315.4338261
145,4,4,25,A1,B2,305.8170269
146,4,4,26,A1,B2,233.2041015
147,4,4,27,A1,B2,
148,4,4,28,A1,B2,274.0152233
149,4,4,29,A1,B2,287.739981
150,4,4,30,A1,B2,270.5977198
151,4,4,31,A2,B1,267.082559
152,4,4,32,A2,B1,271.044963
153,4,4,33,A2,B1,273.3010419
154,4,4,34,A2,B1,210.7169755
155,4,4,35,A2,B1,238.9179619
156,4,4,36,A2,B1,273.8033362
157,4,4,37,A2,B1,245.990598
158,4,4,38,A2,B1,248.6676082
159,4,4,39,A2,B1,267.5714121
160,4,4,40,A2,B1,250.6287622
161,5,3,1,A2,B1,261.7101802
162,5,3,2,A2,B1,258.6921974
163,5,3,3,A2,B1,223.5346586
164,5,3,4,A2,B1,249.8613311
165,5,3,5,A2,B1,249.7497421
166,5,3,6,A2,B1,188.9312489
167,5,3,7,A2,B1,231.8348444
168,5,3,8,A2,B1,287.9134769
169,5,3,9,A2,B1,252.0111059
170,5,3,10,A2,B1,228.0645324
171,5,3,11,A2,B2,258.10169
172,5,3,12,A2,B2,298.7195643
173,5,3,13,A2,B2,295.3126689
174,5,3,14,A2,B2,260.777878
175,5,3,15,A2,B2,276.1090053
176,5,3,16,A2,B2,245.099544
177,5,3,17,A2,B2,268.2846865
178,5,3,18,A2,B2,306.1730005
179,5,3,19,A2,B2,254.7925381
180,5,3,20,A2,B2,309.4710868
181,5,3,21,A1,B1,208.5975644
182,5,3,22,A1,B1,247.5901348
183,5,3,23,A1,B1,258.7378786
184,5,3,24,A1,B1,280.3179885
185,5,3,25,A1,B1,233.0255314
186,5,3,26,A1,B1,237.746984
187,5,3,27,A1,B1,261.1080895
188,5,3,28,A1,B1,256.7739917
189,5,3,29,A1,B1,277.7369665
190,5,3,30,A1,B1,259.8841913
191,5,3,31,A1,B2,226.2301829
192,5,3,32,A1,B2,263.1967138
193,5,3,33,A1,B2,273.2220679
194,5,3,34,A1,B2,220.9787676
195,5,3,35,A1,B2,258.8634274
196,5,3,36,A1,B2,240.5779853
197,5,3,37,A1,B2,263.7451194
198,5,3,38,A1,B2,258.1617066
199,5,3,39,A1,B2,245.469062
200,5,3,40,A1,B2,318.4167007
201,6,3,1,A2,B1,
202,6,3,2,A2,B1,
203,6,3,3,A2,B1,239.7363094
204,6,3,4,A2,B1,211.2556433
205,6,3,5,A2,B1,232.5139568
206,6,3,6,A2,B1,234.1093961
207,6,3,7,A2,B1,226.0223399
208,6,3,8,A2,B1,207.4378016
209,6,3,9,A2,B1,232.2298483
210,6,3,10,A2,B1,216.6843791
211,6,3,11,A2,B2,263.8972274
212,6,3,12,A2,B2,258.939495
213,6,3,13,A2,B2,291.6150224
214,6,3,14,A2,B2,276.7238315
215,6,3,15,A2,B2,254.9567585
216,6,3,16,A2,B2,268.9645176
217,6,3,17,A2,B2,296.249253
218,6,3,18,A2,B2,278.1591472
219,6,3,19,A2,B2,264.4314109
220,6,3,20,A2,B2,290.6581182
221,6,3,21,A1,B1,243.4829373
222,6,3,22,A1,B1,222.7236112
223,6,3,23,A1,B1,239.4436137
224,6,3,24,A1,B1,259.1395655
225,6,3,25,A1,B1,247.1761232
226,6,3,26,A1,B1,260.7380492
227,6,3,27,A1,B1,277.829083
228,6,3,28,A1,B1,286.3325093
229,6,3,29,A1,B1,263.8894678
230,6,3,30,A1,B1,244.7222185
231,6,3,31,A1,B2,248.9910891
232,6,3,32,A1,B2,251.7526415
233,6,3,33,A1,B2,261.7102324
234,6,3,34,A1,B2,257.9781305
235,6,3,35,A1,B2,239.7767683
236,6,3,36,A1,B2,198.0204026
237,6,3,37,A1,B2,258.7878833
238,6,3,38,A1,B2,254.9392108
239,6,3,39,A1,B2,212.2549895
240,6,3,40,A1,B2,271.239672
241,7,1,1,A1,B1,220.3443525
242,7,1,2,A1,B1,210.1352853
243,7,1,3,A1,B1,225.5200956
244,7,1,4,A1,B1,232.1271644
245,7,1,5,A1,B1,225.3410438
246,7,1,6,A1,B1,201.212813
247,7,1,7,A1,B1,226.2017543
248,7,1,8,a1,B1,287.2834802
249,7,1,9,A1,B1,180.1626054
250,7,1,10,A1,B1,240.3749545
251,7,1,11,A1,B2,250.413578
252,7,1,12,A1,B2,243.2860089
253,7,1,13,A1,B2,260.3228046
254,7,1,14,A1,B2,263.7024089
255,7,1,15,A1,B2,232.1888691
256,7,1,16,A1,B2,251.9923544
257,7,1,17,A1,B2,223.4124756
258,7,1,18,A1,B2,236.1245036
259,7,1,19,A1,B2,218.3492322
260,7,1,20,A1,B2,
261,7,1,21,A2,B1,
262,7,1,22,A2,B1,
263,7,1,23,A2,B1,
264,7,1,24,A2,B1,
265,7,1,25,A2,B1,
266,7,1,26,A2,B1,
267,7,1,27,A2,B1,
268,7,1,28,A2,B1,
269,7,1,29,A2,B1,
270,7,1,30,A2,B1,
271,7,1,31,A2,B2,
272,7,1,32,A2,B2,
273,7,1,33,A2,B2,
274,7,1,34,A2,B2,
275,7,1,35,A2,B2,
276,7,1,36,A2,B2,
277,7,1,37,A2,B2,
278,7,1,38,A2,B2,
279,7,1,39,A2,B2,
280,7,1,40,A2,B2,
281,8,3,1,A2,B1,214.1131618
282,8,3,2,A2,B1,190.3506999
283,8,3,3,A2,B1,195.8563799
284,8,3,4,A2,B1,236.9157099
285,8,3,5,A2,B1,213.5166733
286,8,3,6,A2,B1,223.6204469
287,8,3,7,A2,B1,257.2760556
288,8,3,8,A2,B1,242.5244784
289,8,3,9,A2,B1,208.243906
290,8,3,10,A2,B1,231.8399062
291,8,3,11,A2,B2,220.2139124
292,8,3,12,A2,B2,261.2980313
293,8,3,13,A2,B2,207.7510111
294,8,3,14,A2,B2,221.4741848
295,8,3,15,A2,B2,251.4117251
296,8,3,16,A2,B2,225.1880712
297,8,3,17,A2,B2,250.8681583
298,8,3,18,A2,B2,265.1770353
299,8,3,19,A2,B2,177.312204
300,8,3,20,A2,B2,240.7122157
301,8,3,21,A1,B1,212.9978664
302,8,3,22,A1,B1,252.5210293
303,8,3,23,A1,B1,224.3707261
304,8,3,24,A1,B1,278.4847732
305,8,3,25,A1,B1,234.2985852
306,8,3,26,A1,B1,232.8038122
307,8,3,27,A1,B1,285.4571657
308,8,3,28,A1,B1,253.4420075
309,8,3,29,A1,B1,279.9113885
310,8,3,30,A1,B1,276.2848786
311,8,3,31,A1,B2,182.1052657
312,8,3,32,A1,B2,260.2887463
313,8,3,33,A1,B2,263.0964116
314,8,3,34,A1,B2,256.1283707
315,8,3,35,A1,B2,252.5268469
316,8,3,36,A1,B2,243.3080765
317,8,3,37,A1,B2,251.8304239
318,8,3,38,A1,B2,240.5322488
319,8,3,39,A1,B2,250.4684477
320,8,3,40,A1,B2,242.8993359
321,9,1,1,A1,B1,209.4776006
322,9,1,2,A1,B1,228.7751436
323,9,1,3,A1,B1,245.7107038
324,9,1,4,A1,B1,257.722696
325,9,1,5,A1,B1,229.6834912
326,9,1,6,A1,B1,205.7911238
327,9,1,7,A1,B1,185.199123
328,9,1,8,A1,B1,266.6052591
329,9,1,9,A1,B1,197.5121288
330,9,1,10,A1,B1,251.8417909
331,9,1,11,A1,B2,282.0351926
332,9,1,12,A1,B2,278.2773279
333,9,1,13,A1,B2,265.5833889
334,9,1,14,A1,B2,282.9841829
335,9,1,15,A1,B2,219.3148218
336,9,1,16,A1,B2,
337,9,1,17,A1,B2,215.1539012
338,9,1,18,A1,B2,260.6488221
339,9,1,19,A1,B2,214.8368839
340,9,1,20,A1,B2,259.2491221
341,9,1,21,A2,B1,266.1736723
342,9,1,22,A2,B1,243.0583713
343,9,1,23,A2,B1,
344,9,1,24,A2,B1,227.0220549
345,9,1,25,A2,B1,252.8844833
346,9,1,26,A2,B1,272.4578935
347,9,1,27,A2,B1,261.4997163
348,9,1,28,A2,B1,231.441603
349,9,1,29,A2,B1,231.9086666
350,9,1,30,A2,B1,249.0834956
351,9,1,31,A2,B2,256.7448937
352,9,1,32,A2,B2,223.0146207
353,9,1,33,A2,B2,285.0081875
354,9,1,34,A2,B2,256.4889935
355,9,1,35,A2,B2,266.286569
356,9,1,36,A2,B2,243.7759642
357,9,1,37,A2,B2,284.0071098
358,9,1,38,A2,B2,261.5605723
359,9,1,39,A2,B2,235.425942
360,9,1,40,A2,B2,248.4057436
361,10,2,1,A1,B2,245.6055537
362,10,2,2,A1,B2,314.1709422
363,10,2,3,A1,B2,262.2464263
364,10,2,4,A1,B2,295.7714699
365,10,2,5,A1,B2,270.8529343
366,10,2,6,A1,B2,273.1960815
367,10,2,7,A1,B2,291.0067921
368,10,2,8,A1,B2,300.3318369
369,10,2,9,A1,B2,217.3259192
370,10,2,10,A1,B2,231.6584931
371,10,2,11,A2,B1,276.6482431
372,10,2,12,A2,B1,245.7423919
373,10,2,13,A2,B1,242.4519662
374,10,2,14,A2,B1,269.9625001
375,10,2,15,A2,B1,280.2726588
376,10,2,16,A2,B1,262.2189299
377,10,2,17,A2,B1,261.1263394
378,10,2,18,A2,B1,251.756657
379,10,2,19,A2,B1,259.2219726
380,10,2,20,A2,B1,231.5222148
381,10,2,21,A2,B2,260.7597104
382,10,2,22,A2,B2,235.3312544
383,10,2,23,a1,b2,278.7065189
384,10,2,24,A2,B2,290.5643381
385,10,2,25,A2,B2,306.7727316
386,10,2,26,A2,B2,296.1173425
387,10,2,27,A2,B2,273.9222423
388,10,2,28,A2,B2,298.6644762
389,10,2,29,A2,B2,291.608229
390,10,2,30,A2,B2,244.1939703
391,10,2,31,A1,B1,239.6423342
392,10,2,32,A1,B1,203.0654763
393,10,2,33,A1,B1,293.7357941
394,10,2,34,A1,B1,218.5288075
395,10,2,35,A1,B1,
396,10,2,36,A1,B1,
397,10,2,37,A1,B1,
398,10,2,38,A1,B1,228.8330726
399,10,2,39,A1,B1,253.6733517
400,10,2,40,A1,B1,228.7839613
401,11,2,1,A1,B2,254.4655652
402,11,2,2,A1,B2,295.3029981
403,11,2,3,A1,B2,266.1300148
404,11,2,4,A1,B2,280.1406315
405,11,2,5,A1,B2,228.0824732
406,11,2,6,A1,B2,229.5695295
407,11,2,7,A1,B2,272.6715802
408,11,2,8,A1,B2,280.3221416
409,11,2,9,A1,B2,255.98318
410,11,2,10,A1,B2,185.2810893
411,11,2,11,A2,B1,256.869868
412,11,2,12,A2,B1,277.8156089
413,11,2,13,A2,B1,272.4659782
414,11,2,14,A2,B1,240.0520149
415,11,2,15,A2,B1,269.7048878
416,11,2,16,A2,B1,237.5593702
417,11,2,17,A2,B1,250.3189814
418,11,2,18,A2,B1,295.6018744
419,11,2,19,A2,B1,209.4460446
420,11,2,20,A2,B1,238.8808754
421,11,2,21,A2,B2,297.0645154
422,11,2,22,A2,B2,282.8381871
423,11,2,23,A2,B2,263.2079811
424,11,2,24,A2,B2,280.5073183
425,11,2,25,a2,B2,313.4348924
426,11,2,26,A2,B2,315.9680952
427,11,2,27,A2,B2,266.4516353
428,11,2,28,A2,b2,298.3983396
429,11,2,29,A2,B2,308.2826582
430,11,2,30,A2,B2,286.2214806
431,11,2,31,A1,B1,197.6611601
432,11,2,32,A1,B1,222.4397203
433,11,2,33,A1,B1,269.0210708
434,11,2,34,A1,B1,219.5675511
435,11,2,35,A1,B1,198.4806079
436,11,2,36,A1,B1,200.2121798
437,11,2,37,A1,B1,260.4169429
438,11,2,38,A1,B1,195.9674222
439,11,2,39,A1,B1,195.4103412
440,11,2,40,A1,B1,226.7595765
441,12,3,1,A2,B1,221.1748242
442,12,3,2,A2,B1,262.4047156
443,12,3,3,A2,B1,264.5744876
444,12,3,4,A2,B1,239.9097983
445,12,3,5,A2,B1,251.4306988
446,12,3,6,A2,B1,266.0405166
447,12,3,7,A2,B1,240.2260707
448,12,3,8,A2,B1,283.3751311
449,12,3,9,A2,B1,296.3070234
450,12,3,10,A2,B1,270.6580881
451,12,3,11,A2,B2,246.5991278
452,12,3,12,A2,B2,284.3812924
453,12,3,13,A2,B2,
454,12,3,14,A2,B2,
455,12,3,15,A2,B2,265.5394344
456,12,3,16,A2,B2,
457,12,3,17,A2,B2,284.7664155
458,12,3,18,A2,B2,257.4080447
459,12,3,19,A2,B2,255.2493881
460,12,3,20,A2,B2,270.5177017
461,12,3,21,A1,B1,227.1490625
462,12,3,22,A1,B1,238.62804
463,12,3,23,A1,B1,266.7267667
464,12,3,24,A1,B1,248.5420659
465,12,3,25,A1,B1,285.1073533
466,12,3,26,A1,B1,294.9804984
467,12,3,27,A1,B1,281.8896533
468,12,3,28,A1,B1,268.0104055
469,12,3,29,A1,B1,278.2640353
470,12,3,30,A1,B1,239.2487067
471,12,3,31,A1,B2,214.7009204
472,12,3,32,A1,B2,243.925856
473,12,3,33,A1,B2,296.8579131
474,12,3,34,A1,B2,271.3897661
475,12,3,35,A1,B2,234.1305474
476,12,3,36,A1,B2,238.8216001
477,12,3,37,A1,B2,243.3998514
478,12,3,38,A1,B2,266.6813584
479,12,3,39,A1,B2,246.8216638
480,12,3,40,A1,B2,291.4975543
481,13,4,1,A2,B2,248.2030185
482,13,4,2,A2,B2,247.2612273
483,13,4,3,A2,B2,240.6272144
484,13,4,4,A2,BB2,231.0909159
485,13,4,5,A2,B2,249.58133
486,13,4,6,A2,B2,262.6313125
487,13,4,7,A2,B2,261.1566056
488,13,4,8,A2,B2,253.4341927
489,13,4,9,A2,B2,250.8831481
490,13,4,10,A2,B2,244.348493
491,13,4,11,A1,B1,270.4690727
492,13,4,12,A1,B1,258.8734577
493,13,4,13,A1,B1,253.6717033
494,13,4,14,A1,B1,294.1407374
495,13,4,15,A1,B1,266.4394504
496,13,4,16,A1,B1,246.9956397
497,13,4,17,A1,B1,200.9860517
498,13,4,18,A1,B1,243.6744686
499,13,4,19,A1,B1,237.1613009
500,13,4,20,A1,B1,261.3645883
501,13,4,21,A1,B2,240.8901946
502,13,4,22,A1,B2,240.6288977
503,13,4,23,A1,B2,229.362587
504,13,4,24,A1,B2,318.0775385
505,13,4,25,A1,B2,299.2517319
506,13,4,26,A1,B2,259.5207849
507,13,4,27,A1,B2,253.4303087
508,13,4,28,A1,B2,260.1022112
509,13,4,29,A1,B2,308.6603438
510,13,4,30,A1,B2,227.1953024
511,13,4,31,A2,B1,269.235394
512,13,4,32,A2,B1,245.7674083
513,13,4,33,A2,B1,255.7981883
514,13,4,34,A2,B1,248.0083907
515,13,4,35,A2,B1,272.7856526
516,13,4,36,A2,B1,250.4957899
517,13,4,37,A2,B1,259.2388547
518,13,4,38,A2,B1,241.3024596
519,13,4,39,A2,B1,264.4401137
520,13,4,40,A2,B1,276.3073351
521,14,2,1,A1,B2,247.7909327
522,14,2,2,A1,B2,221.626532
523,14,2,3,A1,B2,217.8284828
524,14,2,4,A1,B2,322.4781006
525,14,2,5,A1,B2,235.0154951
526,14,2,6,A1,B2,265.0548405
527,14,2,7,A1,B2,276.5560862
528,14,2,8,A1,B2,264.919525
529,14,2,9,A1,B2,213.0740263
530,14,2,10,A1,B2,215.2644245
531,14,2,11,A2,B1,237.0960926
532,14,2,12,A2,B1,267.5722771
533,14,2,13,A2,B1,255.9172912
534,14,2,14,A2,B1,276.8408114
535,14,2,15,A2,B1,267.5448832
536,14,2,16,A2,B1,266.8880326
537,14,2,17,A2,B1,237.1413294
538,14,2,18,A2,B1,229.524779
539,14,2,19,A2,B1,199.5386703
540,14,2,20,A2,B1,237.6495991
541,14,2,21,A2,B2,229.709005
542,14,2,22,A2,B2,237.0690104
543,14,2,23,A2,B2,284.9681807
544,14,2,24,A2,B2,287.4666053
545,14,2,25,A2,B2,262.6982593
546,14,2,26,A2,B2,248.3896139
547,14,2,27,A2,B2,256.9163842
548,14,2,28,A2,B2,261.126869
549,14,2,29,A2,B2,291.9169848
550,14,2,30,A2,B2,271.2690913
551,14,2,31,A1,B1,264.1539079
552,14,2,32,A1,B1,223.1394753
553,14,2,33,A1,B1,286.8217394
554,14,2,34,A1,B1,254.13455
555,14,2,35,A1,B1,279.9355416
556,14,2,36,A1,B1,269.0031813
557,14,2,37,A1,B1,259.3488046
558,14,2,38,A1,B1,248.3848061
559,14,2,39,A1,B1,286.9834365
560,14,2,40,A1,B1,228.3628338
561,15,1,1,A1,B1,247.5128927
562,15,1,2,A1,B1,263.3724255
563,15,1,3,A1,B1,256.496379
564,15,1,4,A1,BB1,224.9186146
565,15,1,5,A1,B1,224.5273764
566,15,1,6,A1,B1,201.8106707
567,15,1,7,A1,B1,230.8487457
568,15,1,8,A1,B1,257.4042757
569,15,1,9,A1,B1,238.1571682
570,15,1,10,A1,B1,241.8765553
571,15,1,11,A1,B2,318.4345012
572,15,1,12,A1,B2,252.5372618
573,15,1,13,A1,B2,300.5202471
574,15,1,14,A1,B2,310.7701781
575,15,1,15,A1,B2,244.656524
576,15,1,16,A1,B2,284.1989495
577,15,1,17,A1,B2,261.0698603
578,15,1,18,A1,B2,288.2891841
579,15,1,19,A1,B2,218.0116345
580,15,1,20,A1,B2,300.8362679
581,15,1,21,A2,B1,303.7883042
582,15,1,22,A2,B1,259.1640831
583,15,1,23,A2,B1,
584,15,1,24,A2,B1,238.8609416
585,15,1,25,A2,B1,253.0561292
586,15,1,26,A2,B1,278.9546532
587,15,1,27,A2,B1,290.2305276
588,15,1,28,A2,B1,249.4200362
589,15,1,29,A2,B1,269.4134967
590,15,1,30,A2,B1,281.5559127
591,15,1,31,A2,B2,283.1945681
592,15,1,32,A2,B2,276.3041749
593,15,1,33,A2,B2,304.2485766
594,15,1,34,A2,B2,282.6279046
595,15,1,35,A2,B2,282.884912
596,15,1,36,A2,B2,264.7380138
597,15,1,37,A2,B2,293.1587413
598,15,1,38,A2,B2,262.6532076
599,15,1,39,A2,B2,249.2206143
600,15,1,40,A2,B2,291.3644647
601,16,1,1,A1,B1,211.5168017
602,16,1,2,A1,B1,225.2994859
603,16,1,3,A1,B1,280.1407359
604,16,1,4,A1,B1,235.3728232
605,16,1,5,A1,B1,201.7733823
606,16,1,6,A1,B1,226.1446922
607,16,1,7,A1,B1,228.1677149
608,16,1,8,A1,B1,241.4626352
609,16,1,9,A1,B1,208.4393389
610,16,1,10,A1,B1,206.2841423
611,16,1,11,A1,B2,272.0233856
612,16,1,12,A1,B2,265.7766219
613,16,1,13,A1,B2,234.50991
614,16,1,14,A1,B2,270.2312337
615,16,1,15,A1,B2,235.795723
616,16,1,16,A1,B2,260.7241957
617,16,1,17,A1,B2,225.2273439
618,16,1,18,A1,B2,237.7041648
619,16,1,19,A1,B2,168.4008938
620,16,1,20,A1,B2,295.7731245
621,16,1,21,A2,B1,210.8119309
622,16,1,22,A2,B1,253.0317714
623,16,1,23,A2,B1,236.6545248
624,16,1,24,A2,B1,264.1932337
625,16,1,25,A2,B1,272.6031733
626,16,1,26,A2,B1,252.7521644
627,16,1,27,A2,B1,243.5508367
628,16,1,28,A2,B1,263.3368597
629,16,1,29,A2,B1,249.861564
630,16,1,30,A2,B1,242.2411248
631,16,1,31,A2,B2,235.1756162
632,16,1,32,A2,B2,219.7318992
633,16,1,33,A2,B2,277.6622452
634,16,1,34,A2,B2,233.5629636
635,16,1,35,A2,B2,255.2532364
636,16,1,36,A2,B2,245.541865
637,16,1,37,A2,B2,243.9933104
638,16,1,38,A2,B2,245.5428138
639,16,1,39,A2,B2,222.0271105
640,16,1,40,A2,B2,286.9150381
641,17,4,1,A2,B2,223.3223809
642,17,4,2,A2,B2,276.2212686
643,17,4,3,A2,B2,298.6663964
644,17,4,4,A2,B2,245.6724868
645,17,4,5,A2,B2,242.0815923
646,17,4,6,A2,B2,
647,17,4,7,A2,B2,268.2148077
648,17,4,8,A2,B2,234.2152672
649,17,4,9,A2,B2,257.9946984
650,17,4,10,A2,B2,253.7148444
651,17,4,11,A1,B1,274.8397291
652,17,4,12,A1,B1,262.9794962
653,17,4,13,A1,B1,258.7218555
654,17,4,14,A1,B1,316.8027914
655,17,4,15,A1,B1,243.6529478
656,17,4,16,A1,B1,286.1059059
657,17,4,17,A1,B1,261.4833752
658,17,4,18,A1,B1,256.1115285
659,17,4,19,A1,B1,255.3400609
660,17,4,20,A1,B1,256.8771515
661,17,4,21,A1,B2,252.1113435
662,17,4,22,A1,B2,181.714757
663,17,4,23,A1,B2,211.231936
664,17,4,24,A1,B2,302.3813286
665,17,4,25,A1,B2,260.5763193
666,17,4,26,A1,B2,253.6104819
667,17,4,27,A1,B2,204.7324259
668,17,4,28,A1,B2,227.7710633
669,17,4,29,A1,B2,277.4913567
670,17,4,30,A1,B2,288.4428731
671,17,4,31,A2,B1,212.8216866
672,17,4,32,A2,B1,256.4255361
673,17,4,33,A2,B1,249.3543689
674,17,4,34,A2,B1,217.3043401
675,17,4,35,A2,B1,252.8705948
676,17,4,36,A2,B1,239.7756468
677,17,4,37,A2,B1,239.8802113
678,17,4,38,A2,B1,242.2994055
679,17,4,39,A2,B1,243.6549406
680,17,4,40,A2,B1,259.8503627
681,18,2,1,A1,B2,218.9025789
682,18,2,2,A1,B2,251.0580961
683,18,2,3,A1,B2,265.3670973
684,18,2,4,A1,B2,261.2869593
685,18,2,5,A1,B2,253.1771195
686,18,2,6,A1,B2,240.2581584
687,18,2,7,A1,B2,261.429142
688,18,2,8,A1,B2,278.8464684
689,18,2,9,A1,B2,271.0653481
690,18,2,10,A1,B2,232.9749775
691,18,2,11,A2,B1,217.7467314
692,18,2,12,A2,B1,224.0753719
693,18,2,13,A2,B1,213.6686345
694,18,2,14,A2,B1,235.39167
695,18,2,15,A2,B1,264.8932977
696,18,2,16,A2,B1,253.9061082
697,18,2,17,A2,B1,212.5581658
698,18,2,18,A2,B1,230.3520564
699,18,2,19,A2,B1,258.4124429
700,18,2,20,A2,B1,245.7439097
701,18,2,21,A2,B2,223.3895137
702,18,2,22,A2,B2,199.7522428
703,18,2,23,A2,B2,282.490641
704,18,2,24,A2,B2,252.1638171
705,18,2,25,A2,B2,257.973666
706,18,2,26,A2,B2,260.6432734
707,18,2,27,A2,B2,210.3179497
708,18,2,28,A2,B2,242.4180235
709,18,2,29,A2,B2,269.5866189
710,18,2,30,A2,B2,236.6248673
